"Source:","C:\Users\gmaur\Documents\KiCad Projects\CUBOTino2\CUBOTino2.sch"
"Date:","8/23/2023 4:29:55 PM"
"Tool:","Eeschema (5.1.10)-1"
"Component Count:","28"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","220uF 16V","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~","",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C3","10nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"C5","2.2uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"C6","220uF 16V","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~","",""
"C7","220uF 16V","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~","",""
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"D2","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"D3","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"H1","MountingHole","MountingHole:MountingHole_2.7mm","~","",""
"H2","MountingHole","MountingHole:MountingHole_2.7mm","~","",""
"H3","MountingHole","MountingHole:MountingHole_2.7mm","~","",""
"H4","MountingHole","MountingHole:MountingHole_2.7mm","~","",""
"J1","P1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","",""
"J2","TFT_PWR","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J3","TFT","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~","",""
"J4","5V","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J5","Jump","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J6","5VP","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J7","Cube","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","",""
"J8","Top","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","",""
"J9","LED","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","",""
"J10","Touch","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R2","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"U1","LP2985-3.3","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf","",""
